Movie_id,Name of movie,Year of relase,Watchtime,Movie Rating,Genres,Votes,Reviews,Director,Stars
28,Jai Bhim,2021,164,8.9,"Crime, Drama, Mystery","1,96,904","When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",T.J. Gnanavel,"['Suriya', 'Lijo Mol Jose', 'Manikandan K.', 'Rajisha Vijayan']"
29,Cuttputli,2022,120,0,Thriller,null,A cop's mission to track down a child abduction racket in the city. With inspector officer Akshay Kumar and police officer Manjit Singh.,Ranjit Tewari,"['Akshay Kumar', 'Rakul Preet Singh', 'Gurpreet Ghuggi', 'Chandrachur Singh']"
30,Good Luck Jerry,2022,148,5.6,"Comedy, Crime, Drama","4,882","The film is the official remake of Tamil movie Kolamaavu Kokila, which tells the story of an innocent girl who gets pulled into the notorious world of cocaine smuggling.",Siddharth Sengupta,"['Janhvi Kapoor', 'Jaswant Singh Dalal', 'Deepak Dobriyal', 'Mita Vashisht']"
31,Jaadugar,2022,167,7,"Comedy, Drama, Fantasy","8,358","Magic Meenu, a small-time magician in Neemuch, M.P., has to win a local football tournament in order to marry the girl he loves.",Sameer Saxena,"['Jitendra Kumar', 'Arushi Sharma', 'Jaaved Jaaferi', 'Raksha Panwar']"
32,The Kashmir Files,2022,170,8.3,Drama,"5,57,076","A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth.",Vivek Agnihotri,"['Mithun Chakraborty', 'Anupam Kher', 'Darshan Kumaar', 'Pallavi Joshi']"
33,Tumbbad,2018,104,8.2,"Drama, Fantasy, Horror","44,550",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,"Directors:Rahi Anil Barve, Anand Gandhi, Adesh Prasad","['Sohum Shah', 'Jyoti Malshe', 'Anita Date-Kelkar', 'Ronjini Chakraborty']"
34,PK,2014,153,8.1,"Comedy, Drama, Sci-Fi","1,86,037",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,Rajkumar Hirani,"['Aamir Khan', 'Anushka Sharma', 'Sanjay Dutt', 'Boman Irani']"
35,Pushpa: The Rise - Part 1,2021,179,7.6,"Action, Adventure, Crime","69,843","A labourer rises through ranks of a smuggling syndicate, infuriating some powerful forces in the process.",Sukumar,"['Allu Arjun', 'Fahadh Faasil', 'Rashmika Mandanna', 'Dhananjaya']"
36,Dangal,2016,161,8.3,"Action, Biography, Drama","1,88,334",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Nitesh Tiwari,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']"
37,Baahubali 2: The Conclusion,2017,167,8.2,"Action, Drama","97,949","When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",S.S. Rajamouli,"['Prabhas', 'Rana Daggubati', 'Anushka Shetty', 'Tamannaah Bhatia']"
38,Master,2021,178,7.3,"Action, Thriller","74,334","An alcoholic professor is sent to a juvenile school, where he clashes with a gangster who uses the school children for criminal activities.",Lokesh Kanagaraj,"['Joseph Vijay', 'Vijay Sethupathi', 'Malavika Mohanan', 'Arjun Das']"
39,The Darjeeling Limited,2007,91,7.2,"Adventure, Comedy, Drama","1,98,796","A year after their father's funeral, three brothers travel across India by train in an attempt to bond with each other.",Wes Anderson,"['Owen Wilson', 'Adrien Brody', 'Jason Schwartzman', 'Amara Karan']"
40,The BFG,2016,117,6.3,"Adventure, Family, Fantasy","85,929","An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",Steven Spielberg,"['Mark Rylance', 'Ruby Barnhill', 'Penelope Wilton', 'Jemaine Clement']"
41,Taare Zameen Par,2007,165,8.3,"Drama, Family","1,91,843","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Directors:Aamir Khan, Amole Gupte","['Darsheel Safary', 'Aamir Khan', 'Tisca Chopra', 'Vipin Sharma']"
42,Gangs of Wasseypur,2012,321,8.2,"Action, Comedy, Crime","95,274","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Anurag Kashyap,"['Manoj Bajpayee', 'Richa Chadha', 'Nawazuddin Siddiqui', 'Tigmanshu Dhulia']"
43,K.G.F: Chapter 1,2018,156,8.2,"Action, Crime, Drama","81,908","In the 1970s, a gangster goes undercover as a slave to assassinate the owner of a notorious gold mine.",Prashanth Neel,"['Yash', 'Srinidhi Shetty', 'Ramachandra Raju', 'Archana Jois']"
44,Sardar Udham,2021,164,8.4,"Biography, Crime, Drama","41,279",A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.,Shoojit Sircar,"['Vicky Kaushal', 'Shaun Scott', 'Stephen Hogan', 'Amol Parashar']"
45,Pathaan,2023,146,0,"Action, Crime, Drama",null,RAW Agent codenamed Pathaan takes on a menacing villain who is hell bent on ripping apart India's security apparatus.,Siddharth Anand,"['Shah Rukh Khan', 'Deepika Padukone', 'John Abraham']"
46,Shershaah,2021,135,8.4,"Action, Biography, Drama","1,19,562","Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999.",Vishnuvardhan,"['Sidharth Malhotra', 'Kiara Advani', 'Shiv Panditt', 'Pranay Pachauri']"
47,Janhit Mein Jaari,2022,146,7,"Comedy, Drama, Romance","6,686","The story of a young girl, a crusader who takes up a challenging job selling condoms in a small town in MP, India.",Jai Basantu Singh,"['Nushrratt Bharuccha', 'Anud Singh Dhaka', 'Paritosh Tripathi', 'Vijay Raaz']"
48,Om - The Battle Within,2022,135,2.6,"Action, Thriller","1,676","After losing his memory while fighting enemies, Om has to battle terrorists and amnesia in order to restore his father's honour after his old man was arrested for betraying his country.",Kapil Verma,"['Vicky Arora', 'Lovely Bhati', 'Amit Ghosh', 'Armen Greyg']"
49,The Hundred-Foot Journey,2014,122,7.3,"Comedy, Drama","83,026",The Kadam family leaves India for France where they open a restaurant directly across the road from Madame Mallory's Michelin-starred eatery.,Lasse Hallström,"['Helen Mirren', 'Om Puri', 'Manish Dayal', 'Charlotte Le Bon']"
